Title.1;Title.2;Title.3;Title.4;Date;DiaSemana
100 humanos; Temporada 1; La felicidad;;lunes, 23 de marzo de 2020;2
100 humanos; Temporada 1; El dolor y el placer;;domingo, 22 de marzo de 2020;1
100 humanos; Temporada 1; Los prejuicios;;domingo, 22 de marzo de 2020;1
100 humanos; Temporada 1; El sexo;;domingo, 22 de marzo de 2020;1
100 humanos; Temporada 1; La mejor edad;;domingo, 22 de marzo de 2020;1
100 humanos; Temporada 1; La atracción;;domingo, 22 de marzo de 2020;1
Escolta;;;;domingo, 22 de marzo de 2020;1
Momentum;;;;domingo, 22 de marzo de 2020;1
La víctima número 8; Temporada 1; Muy fácil o muy difícil;;sábado, 21 de marzo de 2020;7
La víctima número 8; Temporada 1; El síndrome del nido;;sábado, 21 de marzo de 2020;7
La víctima número 8; Temporada 1; Un tiburón que nos haga aún más ricos a todos;;sábado, 21 de marzo de 2020;7
La víctima número 8; Temporada 1; Una teoría de mierda;;sábado, 21 de marzo de 2020;7
La víctima número 8; Temporada 1; El tiro de gracia;;sábado, 21 de marzo de 2020;7
La víctima número 8; Temporada 1; Empezar a creer;;sábado, 21 de marzo de 2020;7
La víctima número 8; Temporada 1; Los milagros no existen;;sábado, 21 de marzo de 2020;7
La víctima número 8; Temporada 1; Omar;;viernes, 20 de marzo de 2020;6
Los asesinatos de Valhala; Temporada 1; Nunca antes visto;;jueves, 19 de marzo de 2020;5
Go Karts;;;;martes, 17 de marzo de 2020;3
Better Call Saul; Temporada 5; Dedicado a Max;;martes, 17 de marzo de 2020;3
Élite; Temporada 3; Polo;;lunes, 16 de marzo de 2020;2
Élite; Temporada 3; Nadia y Omar;;lunes, 16 de marzo de 2020;2
Élite; Temporada 3; Rebeca;;lunes, 16 de marzo de 2020;2
Élite; Temporada 3; Ander;;domingo, 15 de marzo de 2020;1
Élite; Temporada 3; Lu;;domingo, 15 de marzo de 2020;1
Élite; Temporada 3; Cayetana y Valerio;;domingo, 15 de marzo de 2020;1
Élite; Temporada 3; Samuel y Guzmán;;domingo, 15 de marzo de 2020;1
Élite; Temporada 3; Carla;;domingo, 15 de marzo de 2020;1
Toy Boy; Temporada 1; Ángeles caídos;;sábado, 14 de marzo de 2020;7
Toy Boy; Temporada 1; Redención;;sábado, 14 de marzo de 2020;7
Toy Boy; Temporada 1; Cachorro;;sábado, 14 de marzo de 2020;7
Toy Boy; Temporada 1; Polaroids;;viernes, 13 de marzo de 2020;6
Toy Boy; Temporada 1; Amor de madre;;viernes, 13 de marzo de 2020;6
Toy Boy; Temporada 1; Único testigo;;viernes, 13 de marzo de 2020;6
Toy Boy; Temporada 1; Juego de máscaras;;jueves, 12 de marzo de 2020;5
Toy Boy; Temporada 1; El final del túnel;;miércoles, 11 de marzo de 2020;4
Better Call Saul; Temporada 5; Namasté;;martes, 10 de marzo de 2020;3
Toy Boy; Temporada 1; El pulso del asesino;;lunes, 9 de marzo de 2020;2
Toy Boy; Temporada 1; Casilla de salida;;domingo, 8 de marzo de 2020;1
Toy Boy; Temporada 1; El juicio final;;domingo, 8 de marzo de 2020;1
Toy Boy; Temporada 1; De entre los muertos;;domingo, 8 de marzo de 2020;1
Toy Boy; Temporada 1; Piloto;;sábado, 7 de marzo de 2020;7
Noche de venganza;;;;sábado, 7 de marzo de 2020;7
Spenser - Confidencial;;;;sábado, 7 de marzo de 2020;7
Better Call Saul; Temporada 5; El indicado;;jueves, 5 de marzo de 2020;5
Queen Sono; Temporada 1; Soy Queen Sono;;lunes, 2 de marzo de 2020;2
The Code; Temporada 1; Episodio 3;;domingo, 1 de marzo de 2020;1
The Code; Temporada 1; Episodio 2;;domingo, 1 de marzo de 2020;1
The Code; Temporada 1; Episodio 1;;domingo, 1 de marzo de 2020;1
Paranoid; Temporada 1; Episodio 1;;jueves, 27 de febrero de 2020;5
Better Call Saul; Temporada 5; 50 % de descuento;;jueves, 27 de febrero de 2020;5
No te puedes esconder; Temporada 1; Cara a cara;;jueves, 27 de febrero de 2020;5
No te puedes esconder; Temporada 1; Intuición;;jueves, 27 de febrero de 2020;5
Nappily Ever After - El rizado camino a la felicidad;;;;jueves, 27 de febrero de 2020;5
The Bounce Back;;;;jueves, 27 de febrero de 2020;5
La sombra de la ley;;;;miércoles, 26 de febrero de 2020;4
Falsa identidad;;;;miércoles, 26 de febrero de 2020;4
NUNCA MÁS;;;;miércoles, 26 de febrero de 2020;4
Dragon Quest - Tu historia;;;;martes, 25 de febrero de 2020;3
No te puedes esconder; Temporada 1; Destino final;;martes, 25 de febrero de 2020;3
No te puedes esconder; Temporada 1; Un nuevo sospechoso;;martes, 25 de febrero de 2020;3
No te puedes esconder; Temporada 1; La verdad;;martes, 25 de febrero de 2020;3
No te puedes esconder; Temporada 1; En peligro;;martes, 25 de febrero de 2020;3
Better Call Saul; Temporada 5; Hombre Mágico;;martes, 25 de febrero de 2020;3
No te puedes esconder; Temporada 1; Evidencias del crimen;;lunes, 24 de febrero de 2020;2
No te puedes esconder; Temporada 1; El tatuaje;;lunes, 24 de febrero de 2020;2
No te puedes esconder; Temporada 1; La pista;;domingo, 23 de febrero de 2020;1
No te puedes esconder; Temporada 1; La fuga;;domingo, 23 de febrero de 2020;1
Somos una ola; Temporada 1; ¿Conoces esa sensación?;;domingo, 23 de febrero de 2020;1
Doctor Foster; Temporada 2; Episodio 1;;domingo, 23 de febrero de 2020;1
Su último deseo;;;;domingo, 23 de febrero de 2020;1
Puerta 7; Temporada 1; Episodio 8;;sábado, 22 de febrero de 2020;7
Puerta 7; Temporada 1; Episodio 7;;sábado, 22 de febrero de 2020;7
Puerta 7; Temporada 1; Episodio 6;;sábado, 22 de febrero de 2020;7
Puerta 7; Temporada 1; Episodio 5;;viernes, 21 de febrero de 2020;6
Puerta 7; Temporada 1; Episodio 4;;viernes, 21 de febrero de 2020;6
Puerta 7; Temporada 1; Episodio 3;;viernes, 21 de febrero de 2020;6
Puerta 7; Temporada 1; Episodio 2;;viernes, 21 de febrero de 2020;6
Puerta 7; Temporada 1; Episodio 1;;viernes, 21 de febrero de 2020;6
River; Temporada 1; Episodio 4;;martes, 18 de febrero de 2020;3
River; Temporada 1; Episodio 3;;martes, 18 de febrero de 2020;3
Collateral; Miniserie; Episodio 4;;martes, 18 de febrero de 2020;3
River; Temporada 1; Episodio 2;;lunes, 17 de febrero de 2020;2
22 de julio;;;;lunes, 17 de febrero de 2020;2
Operación hermanos;;;;lunes, 17 de febrero de 2020;2
The Coldest Game;;;;domingo, 16 de febrero de 2020;1
Vikingos; Temporada 6; Los mejores planes;;domingo, 16 de febrero de 2020;1
Vikingos; Temporada 6; Resurrección;;sábado, 15 de febrero de 2020;7
Vikingos; Temporada 6; Valhalla puede esperar;;sábado, 15 de febrero de 2020;7
Vikingos; Temporada 6; La doncella de hielo;;sábado, 15 de febrero de 2020;7
Vikingos; Temporada 6; La muerte y la serpiente;;sábado, 15 de febrero de 2020;7
Vikingos; Temporada 6; Momento clave;;sábado, 15 de febrero de 2020;7
Vikingos; Temporada 6; Todos los prisioneros;;sábado, 15 de febrero de 2020;7
Vikingos; Temporada 6; Fantasmas, dioses y perros que corren;;viernes, 14 de febrero de 2020;6
Vikingos; Temporada 6; El profeta;;jueves, 13 de febrero de 2020;5
River; Temporada 1; Episodio 1;;miércoles, 12 de febrero de 2020;4
Marcella; Temporada 2; Episodio 8;;lunes, 10 de febrero de 2020;2
Marcella; Temporada 2; Episodio 7;;lunes, 10 de febrero de 2020;2
Marcella; Temporada 2; Episodio 6;;domingo, 9 de febrero de 2020;1
Marcella; Temporada 2; Episodio 5;;domingo, 9 de febrero de 2020;1
Marcella; Temporada 2; Episodio 4;;domingo, 9 de febrero de 2020;1
Marcella; Temporada 2; Episodio 3;;domingo, 9 de febrero de 2020;1
Marcella; Temporada 2; Episodio 2;;domingo, 9 de febrero de 2020;1
Marcella; Temporada 2; Episodio 1;;domingo, 9 de febrero de 2020;1
Marcella; Temporada 1; Episodio 8;;sábado, 8 de febrero de 2020;7
Marcella; Temporada 1; Episodio 7;;sábado, 8 de febrero de 2020;7
Marcella; Temporada 1; Episodio 6;;sábado, 8 de febrero de 2020;7
Marcella; Temporada 1; Episodio 5;;sábado, 8 de febrero de 2020;7
Marcella; Temporada 1; Episodio 4;;sábado, 8 de febrero de 2020;7
Marcella; Temporada 1; Episodio 3;;sábado, 8 de febrero de 2020;7
Marcella; Temporada 1; Episodio 2;;viernes, 7 de febrero de 2020;6
Marcella; Temporada 1; Episodio 1;;viernes, 7 de febrero de 2020;6
Collateral; Miniserie; Episodio 3;;viernes, 7 de febrero de 2020;6
Collateral; Miniserie; Episodio 2;;viernes, 7 de febrero de 2020;6
Collateral; Miniserie; Episodio 1;;jueves, 6 de febrero de 2020;5
Vikingos; Temporada 6; Nuevos comienzos;;jueves, 6 de febrero de 2020;5
Pine Gap; Temporada 1; Episodio 6;;jueves, 6 de febrero de 2020;5
Pine Gap; Temporada 1; Episodio 5;;miércoles, 5 de febrero de 2020;4
Pine Gap; Temporada 1; Episodio 4;;miércoles, 5 de febrero de 2020;4
La Tierra de noche; Miniserie; Noches congeladas;;miércoles, 5 de febrero de 2020;4
Pine Gap; Temporada 1; Episodio 3;;miércoles, 5 de febrero de 2020;4
Pine Gap; Temporada 1; Episodio 2;;miércoles, 5 de febrero de 2020;4
Pine Gap; Temporada 1; Episodio 1;;miércoles, 5 de febrero de 2020;4
No hables con extraños; Temporada 1; Episodio 8;;miércoles, 5 de febrero de 2020;4
No hables con extraños; Temporada 1; Episodio 7;;miércoles, 5 de febrero de 2020;4
No hables con extraños; Temporada 1; Episodio 6;;martes, 4 de febrero de 2020;3
No hables con extraños; Temporada 1; Episodio 5;;martes, 4 de febrero de 2020;3
No hables con extraños; Temporada 1; Episodio 4;;martes, 4 de febrero de 2020;3
No hables con extraños; Temporada 1; Episodio 3;;martes, 4 de febrero de 2020;3
No hables con extraños; Temporada 1; Episodio 2;;martes, 4 de febrero de 2020;3
No hables con extraños; Temporada 1; Episodio 1;;lunes, 3 de febrero de 2020;2
Secret City; Bajo las alas del águila; Dos hurras por la democracia;;lunes, 3 de febrero de 2020;2
A Fall from Grace;;;;lunes, 3 de febrero de 2020;2
Secret City; Bajo las alas del águila; Por quien doblan las campanas;;domingo, 2 de febrero de 2020;1
Secret City; Bajo las alas del águila; Pájaro herido;;domingo, 2 de febrero de 2020;1
Secret City; Bajo las alas del águila; Caballo pálido;;domingo, 2 de febrero de 2020;1
Secret City; Bajo las alas del águila; Zona de guerra;;domingo, 2 de febrero de 2020;1
Secret City; Bajo las alas del águila; Corre, conejito;;sábado, 1 de febrero de 2020;7
Secret City; La luz en la colina;;;sábado, 1 de febrero de 2020;7
Secret City; Fantasmas en la máquina;;;sábado, 1 de febrero de 2020;7
Secret City; Caída fuerte;;;sábado, 1 de febrero de 2020;7
Secret City; Cuidado con el Jabberwock;;;sábado, 1 de febrero de 2020;7
Secret City; Los vigilantes;;;sábado, 1 de febrero de 2020;7
Secret City; Un donativo para la lucha;;;sábado, 1 de febrero de 2020;7
Criminal; España; Temporada 1; Isabel;viernes, 31 de enero de 2020;6
Criminal; Reino Unido; Temporada 1; Jay;viernes, 31 de enero de 2020;6
Criminal; Reino Unido; Temporada 1; Stacey;viernes, 31 de enero de 2020;6
Criminal; Reino Unido; Temporada 1; Edgar;viernes, 31 de enero de 2020;6
V Wars; Temporada 1; Iguales;;jueves, 30 de enero de 2020;5
V Wars; Temporada 1; La muerte imparable;;jueves, 30 de enero de 2020;5
Enemigos cercanos;;;;jueves, 30 de enero de 2020;5
War Machine;;;;jueves, 30 de enero de 2020;5
Porno para principiantes;;;;lunes, 27 de enero de 2020;2
Modo avión;;;;domingo, 26 de enero de 2020;1
La historia real de un falso asesino;;;;domingo, 26 de enero de 2020;1
October Faction; Temporada 1; October Faction;;domingo, 26 de enero de 2020;1
October Faction; Temporada 1; Vínculos de sangre;;domingo, 26 de enero de 2020;1
October Faction; Temporada 1; Alice;;domingo, 26 de enero de 2020;1
October Faction; Temporada 1; Nadir;;domingo, 26 de enero de 2020;1
October Faction; Temporada 1; Abre los ojos;;domingo, 26 de enero de 2020;1
October Faction; Temporada 1; Verdad y consecuencias;;domingo, 26 de enero de 2020;1
October Faction; Temporada 1; Veladas de futuro pasado;;domingo, 26 de enero de 2020;1
October Faction; Temporada 1; El terror de un tiempo pasado;;sábado, 25 de enero de 2020;7
October Faction; Temporada 1; Sin lugar para los vampiros;;sábado, 25 de enero de 2020;7
October Faction; Temporada 1; Presidio;;sábado, 25 de enero de 2020;7
Inconcebible; Miniserie; Episodio 8;;viernes, 24 de enero de 2020;6
Inconcebible; Miniserie; Episodio 7;;viernes, 24 de enero de 2020;6
Inconcebible; Miniserie; Episodio 6;;viernes, 24 de enero de 2020;6
Inconcebible; Miniserie; Episodio 5;;viernes, 24 de enero de 2020;6
Inconcebible; Miniserie; Episodio 4;;viernes, 24 de enero de 2020;6
Inconcebible; Miniserie; Episodio 3;;jueves, 23 de enero de 2020;5
Inconcebible; Miniserie; Episodio 2;;jueves, 23 de enero de 2020;5
La vida secreta de tus mascotas;;;;miércoles, 22 de enero de 2020;4
Inconcebible; Miniserie; Episodio 1;;miércoles, 22 de enero de 2020;4
Titanes; Temporada 1; Titanes;;martes, 21 de enero de 2020;3
El rey;;;;martes, 21 de enero de 2020;3
Mesías; Temporada 1; El que tiene oído;;lunes, 20 de enero de 2020;2
Sex Education; Temporada 2; Episodio 8;;domingo, 19 de enero de 2020;1
Sex Education; Temporada 2; Episodio 7;;domingo, 19 de enero de 2020;1
Sex Education; Temporada 2; Episodio 6;;domingo, 19 de enero de 2020;1
Sex Education; Temporada 2; Episodio 5;;domingo, 19 de enero de 2020;1
Sex Education; Temporada 2; Episodio 4;;sábado, 18 de enero de 2020;7
Sex Education; Temporada 2; Episodio 3;;sábado, 18 de enero de 2020;7
Sex Education; Temporada 2; Episodio 2;;sábado, 18 de enero de 2020;7
Sex Education; Temporada 2; Episodio 1;;sábado, 18 de enero de 2020;7
Vivir dos veces;;;;miércoles, 15 de enero de 2020;4
Deber/Vergüenza; Temporada 1; Episodio 3;;martes, 14 de enero de 2020;3
Deber/Vergüenza; Temporada 1; Episodio 2;;martes, 14 de enero de 2020;3
Deber/Vergüenza; Temporada 1; Episodio 1;;domingo, 12 de enero de 2020;1
Nisman; El fiscal, la presidenta y el espía; Temporada 1; Episodio 6;viernes, 10 de enero de 2020;6
Nisman; El fiscal, la presidenta y el espía; Temporada 1; Episodio 5;viernes, 10 de enero de 2020;6
Nisman; El fiscal, la presidenta y el espía; Temporada 1; Episodio 4;viernes, 10 de enero de 2020;6
Nisman; El fiscal, la presidenta y el espía; Temporada 1; Episodio 3;martes, 7 de enero de 2020;3
Nisman; El fiscal, la presidenta y el espía; Temporada 1; Episodio 2;domingo, 5 de enero de 2020;1
Nisman; El fiscal, la presidenta y el espía; Temporada 1; Episodio 1;sábado, 4 de enero de 2020;7
Millennials; Season 2; Episodio 24;;viernes, 3 de enero de 2020;6
Millennials; Season 2; Episodio 23;;viernes, 3 de enero de 2020;6
Millennials; Season 2; Episodio 22;;miércoles, 1 de enero de 2020;4
Millennials; Season 2; Episodio 21;;miércoles, 1 de enero de 2020;4
Millennials; Season 2; Episodio 20;;miércoles, 1 de enero de 2020;4
Millennials; Season 2; Episodio 19;;miércoles, 1 de enero de 2020;4
Millennials; Season 2; Episodio 18;;miércoles, 1 de enero de 2020;4
Millennials; Season 2; Episodio 17;;miércoles, 1 de enero de 2020;4
Millennials; Season 2; Episodio 16;;lunes, 30 de diciembre de 2019;2
V Wars; Temporada 1; Vínculos de sangre;;domingo, 29 de diciembre de 2019;1
Millennials; Season 2; Episodio 15;;sábado, 28 de diciembre de 2019;7
Millennials; Season 2; Episodio 14;;sábado, 28 de diciembre de 2019;7
You; Temporada 2; Borrón y cuenta nueva;;viernes, 27 de diciembre de 2019;6
Millennials; Season 2; Episodio 13;;martes, 24 de diciembre de 2019;3
Millennials; Season 2; Episodio 12;;martes, 24 de diciembre de 2019;3
Millennials; Season 2; Episodio 11;;lunes, 23 de diciembre de 2019;2
Millennials; Season 2; Episodio 10;;lunes, 23 de diciembre de 2019;2
Los dos papas;;;;sábado, 21 de diciembre de 2019;7
Millennials; Season 2; Episodio 9;;lunes, 16 de diciembre de 2019;2
Millennials; Season 2; Episodio 8;;lunes, 16 de diciembre de 2019;2
Millennials; Season 2; Episodio 7;;lunes, 16 de diciembre de 2019;2
Millennials; Season 2; Episodio 6;;lunes, 16 de diciembre de 2019;2
Millennials; Season 2; Episodio 5;;lunes, 16 de diciembre de 2019;2
Millennials; Season 2; Episodio 4;;lunes, 16 de diciembre de 2019;2
V Wars; Temporada 1; La enfermedad;;domingo, 15 de diciembre de 2019;1
Animales fantásticos y dónde encontrarlos;;;;domingo, 15 de diciembre de 2019;1
Paradise Beach;;;;domingo, 15 de diciembre de 2019;1
Extremadamente cruel, malvado y perverso;;;;domingo, 15 de diciembre de 2019;1
El espía; Miniserie; Las extrañas parejas;;domingo, 15 de diciembre de 2019;1
Escuadrón 6;;;;domingo, 15 de diciembre de 2019;1
El espía; Miniserie; En casa;;martes, 10 de diciembre de 2019;3
El espía; Miniserie; Los peces deben nadar;;martes, 10 de diciembre de 2019;3
El espía; Miniserie; Solo en Damasco;;lunes, 9 de diciembre de 2019;2
El espía; Miniserie; ¿Qué hay de nuevo, Buenos Aires?;;domingo, 8 de diciembre de 2019;1
Belleza inesperada;;;;domingo, 8 de diciembre de 2019;1
El Irlandés;;;;viernes, 6 de diciembre de 2019;6
Distrito salvaje; Temporada 2; El laberinto;;lunes, 2 de diciembre de 2019;2
Distrito salvaje; Temporada 2; La comuna;;domingo, 1 de diciembre de 2019;1
Distrito salvaje; Temporada 2; El callejón;;domingo, 1 de diciembre de 2019;1
Distrito salvaje; Temporada 2; Las calles;;domingo, 1 de diciembre de 2019;1
Distrito salvaje; Temporada 2; La ratonera;;domingo, 1 de diciembre de 2019;1
Distrito salvaje; Temporada 2; La colmena;;domingo, 1 de diciembre de 2019;1
Distrito salvaje; Temporada 2; El barrio;;domingo, 1 de diciembre de 2019;1
El espía; Miniserie; El inmigrante;;viernes, 29 de noviembre de 2019;6
Distrito salvaje; Temporada 2; La trocha;;viernes, 29 de noviembre de 2019;6
Distrito salvaje; Temporada 2; La fosa;;lunes, 25 de noviembre de 2019;2
Distrito salvaje; Temporada 2; El distrito;;lunes, 25 de noviembre de 2019;2
Distrito salvaje; Temporada 1; Juicio;;domingo, 24 de noviembre de 2019;1
Distrito salvaje; Temporada 1; Ejecución;;domingo, 24 de noviembre de 2019;1
Distrito salvaje; Temporada 1; Traición;;domingo, 24 de noviembre de 2019;1
Distrito salvaje; Temporada 1; Decepción;;domingo, 24 de noviembre de 2019;1
Distrito salvaje; Temporada 1; Allanamiento;;domingo, 24 de noviembre de 2019;1
Distrito salvaje; Temporada 1; Robo;;domingo, 24 de noviembre de 2019;1
Distrito salvaje; Temporada 1; Soborno;;domingo, 24 de noviembre de 2019;1
Distrito salvaje; Temporada 1; Intimidación;;sábado, 23 de noviembre de 2019;7
Distrito salvaje; Temporada 1; Infiltración;;sábado, 23 de noviembre de 2019;7
Distrito salvaje; Temporada 1; Coacción;;sábado, 23 de noviembre de 2019;7
Millennials; Season 2; Episodio 3;;sábado, 23 de noviembre de 2019;7
Millennials; Season 2; Episodio 2;;sábado, 23 de noviembre de 2019;7
Millennials; Season 2; Episodio 1;;sábado, 23 de noviembre de 2019;7
Baywatch - Guardianes de la bahía;;;;lunes, 18 de noviembre de 2019;2
Vikingos; Temporada 5; Ragnarök;;domingo, 17 de noviembre de 2019;1
Vikingos; Temporada 5; Lo que pasa en la cueva;;domingo, 17 de noviembre de 2019;1
Vikingos; Temporada 5; Balder;;domingo, 17 de noviembre de 2019;1
Vikingos; Temporada 5; Cosas terribles;;sábado, 16 de noviembre de 2019;7
Vikingos; Temporada 5; El Buda;;sábado, 16 de noviembre de 2019;7
Fractura;;;;jueves, 14 de noviembre de 2019;5
Vikingos; Temporada 5; Infierno;;lunes, 11 de noviembre de 2019;2
Vikingos; Temporada 5; El momento perdido;;domingo, 10 de noviembre de 2019;1
Vikingos; Temporada 5; Un nuevo dios;;domingo, 10 de noviembre de 2019;1
Vikingos; Temporada 5; El asesinato más vil;;domingo, 10 de noviembre de 2019;1
Vikingos; Temporada 5; La revelación;;domingo, 10 de noviembre de 2019;1
La ley de los audaces; Temporada 9; El último engaño;;sábado, 9 de noviembre de 2019;7
La ley de los audaces; Temporada 9; Explotar;;sábado, 9 de noviembre de 2019;7
La ley de los audaces; Temporada 9; El dilema del prisionero;;viernes, 8 de noviembre de 2019;6
La ley de los audaces; Temporada 9; La ruta panorámica;;jueves, 7 de noviembre de 2019;5
La ley de los audaces; Temporada 9; Lo que sea necesario;;lunes, 4 de noviembre de 2019;2
La ley de los audaces; Temporada 9; Si te queda el zapato...;;domingo, 3 de noviembre de 2019;1
La ley de los audaces; Temporada 9; El Cairo;;domingo, 3 de noviembre de 2019;1
La ley de los audaces; Temporada 9; Molino de viento;;domingo, 3 de noviembre de 2019;1
La ley de los audaces; Temporada 9; Perito judicial;;domingo, 3 de noviembre de 2019;1
La ley de los audaces; Temporada 9; Todo ha cambiado;;domingo, 3 de noviembre de 2019;1
Designated Survivor; Temporada 3; #laverdadolasconsecuencias;;sábado, 2 de noviembre de 2019;7
Designated Survivor; Temporada 3; #indeciso;;sábado, 2 de noviembre de 2019;7
Designated Survivor; Temporada 3; #cagad*demiedo;;sábado, 2 de noviembre de 2019;7
Designated Survivor; Temporada 3; #identidad/crisis;;sábado, 2 de noviembre de 2019;7
Designated Survivor; Temporada 3; #aquiénleimporta;;jueves, 31 de octubre de 2019;5
Designated Survivor; Temporada 3; #nadapersonal;;martes, 29 de octubre de 2019;3
Designated Survivor; Temporada 3; #hazhistoria;;lunes, 28 de octubre de 2019;2
Designated Survivor; Temporada 3; #privacidad;;domingo, 27 de octubre de 2019;1
La lavandería;;;;sábado, 26 de octubre de 2019;7
Designated Survivor; Temporada 3; #efectodominó;;domingo, 20 de octubre de 2019;1
Bill Gates bajo la lupa; Miniserie; Parte 1;;domingo, 20 de octubre de 2019;1
Designated Survivor; Temporada 3; #elsistemaestároto;;domingo, 20 de octubre de 2019;1
El Camino - Una película de Breaking Bad;;;;lunes, 14 de octubre de 2019;2
Peaky Blinders; Temporada 5; Sr. Jones;;lunes, 14 de octubre de 2019;2
Peaky Blinders; Temporada 5; Conmoción;;lunes, 14 de octubre de 2019;2
Peaky Blinders; Temporada 5; El círculo;;sábado, 12 de octubre de 2019;7
Peaky Blinders; Temporada 5; Estrategias;;sábado, 12 de octubre de 2019;7
Peaky Blinders; Temporada 5; Gato negro;;lunes, 7 de octubre de 2019;2
Peaky Blinders; Temporada 5; Martes negro;;domingo, 6 de octubre de 2019;1
Lilo y Stitch;;;;miércoles, 2 de octubre de 2019;4
Ocultos por la Luna;;;;lunes, 30 de septiembre de 2019;2
The Blacklist; Temporada 6; Robert Diaz (N.º 15);;domingo, 29 de septiembre de 2019;1
The Blacklist; Temporada 6; Anna McMahon (N.º 60);;domingo, 29 de septiembre de 2019;1
The Blacklist; Temporada 6; Guillermo Rizal (N.º 128);;sábado, 28 de septiembre de 2019;7
The Blacklist; Temporada 6; Rassvet;;sábado, 28 de septiembre de 2019;7
The Blacklist; Temporada 6; El asesino de Brockton (N.º 92);;sábado, 28 de septiembre de 2019;7
The Blacklist; Temporada 6; El Tercer Estado (N.º 136);;jueves, 26 de septiembre de 2019;5
The Blacklist; Temporada 6; Señora Suerte (N.º 69);;jueves, 26 de septiembre de 2019;5
The Blacklist; Temporada 6; Olivia Olson (N.º 115);;miércoles, 25 de septiembre de 2019;4
The Blacklist; Temporada 6; Compañía de Paraguas Osterman (N.º 6);;lunes, 23 de septiembre de 2019;2
The Blacklist; Temporada 6; Robert Vesco (N.º 9);;domingo, 22 de septiembre de 2019;1
The Blacklist; Temporada 6; Bastien Moreau (N.º 20); Conclusión;domingo, 22 de septiembre de 2019;1
The Blacklist; Temporada 6; Bastien Moreau (N.º 20);;domingo, 22 de septiembre de 2019;1
The Blacklist; Temporada 6; El criptobanquero (N.º 160);;domingo, 22 de septiembre de 2019;1
The Blacklist; Temporada 6; Ministro D (N.º 99);;domingo, 22 de septiembre de 2019;1
The Blacklist; Temporada 6; Marko Jankowics (N.º 58);;domingo, 22 de septiembre de 2019;1
The Blacklist; Temporada 6; El general Shiro (N.º 116);;domingo, 22 de septiembre de 2019;1
The Blacklist; Temporada 6; El eticista (N.º 91);;domingo, 22 de septiembre de 2019;1
The Blacklist; Temporada 6; Alter ego (N.º 131);;sábado, 21 de septiembre de 2019;7
The Blacklist; Temporada 6; Los prestamistas (N.º 146/147);;sábado, 21 de septiembre de 2019;7
The Blacklist; Temporada 6; El farmacéutico (N.º 124);;sábado, 21 de septiembre de 2019;7
The Blacklist; Temporada 6; El Corso (N.º 20);;sábado, 21 de septiembre de 2019;7
The Blacklist; Temporada 6; Dr. Hans Kohler (N.º 33);;sábado, 21 de septiembre de 2019;7
Wu Assassins; Temporada 1; Juventud desperdiciada;;miércoles, 18 de septiembre de 2019;4
Wu Assassins; Temporada 1; Sandía borracha;;miércoles, 18 de septiembre de 2019;4
La gran muralla;;;;martes, 17 de septiembre de 2019;3
Élite; Temporada 2; 0 horas desaparecido;;domingo, 15 de septiembre de 2019;1
Élite; Temporada 2; 84 horas desaparecido;;domingo, 15 de septiembre de 2019;1
Élite; Temporada 2; 66 horas desaparecido;;domingo, 15 de septiembre de 2019;1
Élite; Temporada 2; 63 horas desaparecido;;domingo, 15 de septiembre de 2019;1
Élite; Temporada 2; 59 horas desaparecido;;sábado, 14 de septiembre de 2019;7
Élite; Temporada 2; 36 horas desaparecido;;sábado, 14 de septiembre de 2019;7
Élite; Temporada 2; 34 horas desaparecido;;sábado, 14 de septiembre de 2019;7
Élite; Temporada 2; 20 horas desaparecido;;lunes, 9 de septiembre de 2019;2
Mi obra maestra;;;;domingo, 8 de septiembre de 2019;1
Así nos ven; Miniserie; Parte 4;;domingo, 1 de septiembre de 2019;1
El contador;;;;domingo, 1 de septiembre de 2019;1
Así nos ven; Miniserie; Parte 3;;domingo, 25 de agosto de 2019;1
Amigos de armas;;;;sábado, 24 de agosto de 2019;7
Así nos ven; Miniserie; Parte 2;;sábado, 24 de agosto de 2019;7
Así nos ven; Miniserie; Parte 1;;sábado, 24 de agosto de 2019;7
MINDHUNTER; Temporada 2; Episodio 9;;martes, 20 de agosto de 2019;3
MINDHUNTER; Temporada 2; Episodio 8;;lunes, 19 de agosto de 2019;2
MINDHUNTER; Temporada 2; Episodio 7;;lunes, 19 de agosto de 2019;2
MINDHUNTER; Temporada 2; Episodio 6;;lunes, 19 de agosto de 2019;2
MINDHUNTER; Temporada 2; Episodio 5;;lunes, 19 de agosto de 2019;2
MINDHUNTER; Temporada 2; Episodio 4;;lunes, 19 de agosto de 2019;2
MINDHUNTER; Temporada 2; Episodio 3;;domingo, 18 de agosto de 2019;1
MINDHUNTER; Temporada 2; Episodio 2;;domingo, 18 de agosto de 2019;1
MINDHUNTER; Temporada 2; Episodio 1;;domingo, 18 de agosto de 2019;1
Sense8; Temporada 2; Feliz Año Nuevo de m**rda;;sábado, 17 de agosto de 2019;7
Sense8; Temporada 1; No puedo dejarla;;domingo, 11 de agosto de 2019;1
Sense8; Temporada 1; Da la vuelta y cambia el futuro;;domingo, 11 de agosto de 2019;1
Sense8; Temporada 1; ¿Qué es ser humano?;;domingo, 11 de agosto de 2019;1
Sense8; Temporada 1; La muerte no te permite despedirte;;sábado, 10 de agosto de 2019;7
